RecordID,MonthEnd,Department,Headcount,Hires,Terminations,AttritionRate
"HC-1","2018-01-30","Sales","1","1","0","0.0000"
"HC-2","2018-01-30","Marketing","1","1","0","0.0000"
"HC-3","2018-01-30","Production","2","2","0","0.0000"
"HC-4","2018-01-30","Human Resources","2","2","0","0.0000"
"HC-5","2018-01-30","Finance","1","1","0","0.0000"
"HC-6","2018-01-30","IT Support","4","4","0","0.0000"
"HC-7","2018-01-30","Quality Control","3","3","0","0.0000"
"HC-8","2018-01-30","Logistics","2","2","0","0.0000"
"HC-9","2018-01-30","Research & Development","6","6","0","0.0000"
"HC-10","2018-02-27","Sales","3","2","0","0.0000"
"HC-11","2018-02-27","Marketing","3","2","0","0.0000"
"HC-12","2018-02-27","Production","4","2","0","0.0000"
"HC-13","2018-02-27","Human Resources","4","2","0","0.0000"
"HC-14","2018-02-27","Finance","2","1","0","0.0000"
"HC-15","2018-02-27","IT Support","5","1","0","0.0000"
"HC-16","2018-02-27","Quality Control","6","3","0","0.0000"
"HC-17","2018-02-27","Logistics","3","1","0","0.0000"
"HC-18","2018-02-27","Research & Development","8","2","0","0.0000"
"HC-19","2018-03-30","Sales","6","3","0","0.0000"
"HC-20","2018-03-30","Marketing","6","3","0","0.0000"
"HC-21","2018-03-30","Production","5","1","0","0.0000"
"HC-22","2018-03-30","Human Resources","6","2","0","0.0000"
"HC-23","2018-03-30","Finance","9","7","0","0.0000"
"HC-24","2018-03-30","IT Support","8","3","0","0.0000"
"HC-25","2018-03-30","Quality Control","8","3","0","0.0000"
"HC-26","2018-03-30","Logistics","4","1","0","0.0000"
"HC-27","2018-03-30","Research & Development","11","3","0","0.0000"
"HC-28","2018-04-29","Sales","11","5","0","0.0000"
"HC-29","2018-04-29","Marketing","7","1","0","0.0000"
"HC-30","2018-04-29","Production","5","0","0","0.0000"
"HC-31","2018-04-29","Human Resources","7","1","0","0.0000"
"HC-32","2018-04-29","Finance","11","2","0","0.0000"
"HC-33","2018-04-29","IT Support","11","3","0","0.0000"
"HC-34","2018-04-29","Quality Control","10","1","0","0.0000"
"HC-35","2018-04-29","Logistics","7","3","0","0.0000"
"HC-36","2018-04-29","Research & Development","12","1","0","0.0000"
"HC-37","2018-05-30","Sales","14","3","0","0.0000"
"HC-38","2018-05-30","Marketing","9","2","0","0.0000"
"HC-39","2018-05-30","Production","8","3","0","0.0000"
"HC-40","2018-05-30","Human Resources","10","3","0","0.0000"
"HC-41","2018-05-30","Finance","15","4","0","0.0000"
"HC-42","2018-05-30","IT Support","13","2","0","0.0000"
"HC-43","2018-05-30","Quality Control","11","1","0","0.0000"
"HC-44","2018-05-30","Logistics","9","2","0","0.0000"
"HC-45","2018-05-30","Research & Development","15","3","0","0.0000"
"HC-46","2018-06-29","Sales","14","0","0","0.0000"
"HC-47","2018-06-29","Marketing","11","2","0","0.0000"
"HC-48","2018-06-29","Production","8","0","0","0.0000"
"HC-49","2018-06-29","Human Resources","15","5","0","0.0000"
"HC-50","2018-06-29","Finance","18","3","0","0.0000"
"HC-51","2018-06-29","IT Support","14","1","0","0.0000"
"HC-52","2018-06-29","Quality Control","13","2","0","0.0000"
"HC-53","2018-06-29","Logistics","11","2","0","0.0000"
"HC-54","2018-06-29","Research & Development","15","0","0","0.0000"
"HC-55","2018-07-30","Sales","17","3","0","0.0000"
"HC-56","2018-07-30","Marketing","12","1","0","0.0000"
"HC-57","2018-07-30","Production","9","1","0","0.0000"
"HC-58","2018-07-30","Human Resources","17","2","0","0.0000"
"HC-59","2018-07-30","Finance","20","2","0","0.0000"
"HC-60","2018-07-30","IT Support","15","1","0","0.0000"
"HC-61","2018-07-30","Quality Control","17","5","0","0.0000"
"HC-62","2018-07-30","Logistics","13","2","0","0.0000"
"HC-63","2018-07-30","Research & Development","19","5","0","0.0000"
"HC-64","2018-08-30","Sales","20","3","0","0.0000"
"HC-65","2018-08-30","Marketing","13","1","0","0.0000"
"HC-66","2018-08-30","Production","14","5","0","0.0000"
"HC-67","2018-08-30","Human Resources","19","2","0","0.0000"
"HC-68","2018-08-30","Finance","21","1","0","0.0000"
"HC-69","2018-08-30","IT Support","15","0","0","0.0000"
"HC-70","2018-08-30","Quality Control","21","3","0","0.0000"
"HC-71","2018-08-30","Logistics","16","3","0","0.0000"
"HC-72","2018-08-30","Research & Development","22","2","0","0.0000"
"HC-73","2018-09-29","Sales","23","3","0","0.0000"
"HC-74","2018-09-29","Marketing","13","0","0","0.0000"
"HC-75","2018-09-29","Production","17","3","0","0.0000"
"HC-76","2018-09-29","Human Resources","20","1","0","0.0000"
"HC-77","2018-09-29","Finance","21","0","0","0.0000"
"HC-78","2018-09-29","IT Support","19","4","0","0.0000"
"HC-79","2018-09-29","Quality Control","22","1","0","0.0000"
"HC-80","2018-09-29","Logistics","17","1","0","0.0000"
"HC-81","2018-09-29","Research & Development","23","1","0","0.0000"
"HC-82","2018-10-30","Sales","23","1","0","0.0000"
"HC-83","2018-10-30","Marketing","16","3","0","0.0000"
"HC-84","2018-10-30","Production","17","1","0","0.0000"
"HC-85","2018-10-30","Human Resources","24","4","0","0.0000"
"HC-86","2018-10-30","Finance","24","3","0","0.0000"
"HC-87","2018-10-30","IT Support","24","5","0","0.0000"
"HC-88","2018-10-30","Quality Control","21","0","1","0.0476"
"HC-89","2018-10-30","Logistics","18","1","0","0.0000"
"HC-90","2018-10-30","Research & Development","28","5","0","0.0000"
"HC-91","2018-11-29","Sales","26","2","0","0.0000"
"HC-92","2018-11-29","Marketing","19","3","0","0.0000"
"HC-93","2018-11-29","Production","19","1","0","0.0000"
"HC-94","2018-11-29","Human Resources","27","3","0","0.0000"
"HC-95","2018-11-29","Finance","26","2","0","0.0000"
"HC-96","2018-11-29","IT Support","25","2","0","0.0000"
"HC-97","2018-11-29","Quality Control","24","3","0","0.0000"
"HC-98","2018-11-29","Logistics","19","1","0","0.0000"
"HC-99","2018-11-29","Research & Development","31","3","0","0.0000"
"HC-100","2018-12-30","Sales","28","2","0","0.0000"
"HC-101","2018-12-30","Marketing","21","2","0","0.0000"
"HC-102","2018-12-30","Production","20","1","0","0.0000"
"HC-103","2018-12-30","Human Resources","28","1","0","0.0000"
"HC-104","2018-12-30","Finance","27","3","1","0.0370"
"HC-105","2018-12-30","IT Support","31","5","0","0.0000"
"HC-106","2018-12-30","Quality Control","28","4","0","0.0000"
"HC-107","2018-12-30","Logistics","20","1","0","0.0000"
"HC-108","2018-12-30","Research & Development","31","0","0","0.0000"
"HC-109","2019-01-30","Sales","31","3","0","0.0000"
"HC-110","2019-01-30","Marketing","23","2","0","0.0000"
"HC-111","2019-01-30","Production","22","2","0","0.0000"
"HC-112","2019-01-30","Human Resources","31","3","0","0.0000"
"HC-113","2019-01-30","Finance","32","4","0","0.0000"
"HC-114","2019-01-30","IT Support","35","4","0","0.0000"
"HC-115","2019-01-30","Quality Control","31","3","0","0.0000"
"HC-116","2019-01-30","Logistics","21","2","0","0.0000"
"HC-117","2019-01-30","Research & Development","34","4","0","0.0000"
"HC-118","2019-02-27","Sales","34","4","0","0.0000"
"HC-119","2019-02-27","Marketing","24","1","0","0.0000"
"HC-120","2019-02-27","Production","23","1","0","0.0000"
"HC-121","2019-02-27","Human Resources","33","2","0","0.0000"
"HC-122","2019-02-27","Finance","34","2","0","0.0000"
"HC-123","2019-02-27","IT Support","38","3","0","0.0000"
"HC-124","2019-02-27","Quality Control","34","3","0","0.0000"
"HC-125","2019-02-27","Logistics","22","0","0","0.0000"
"HC-126","2019-02-27","Research & Development","37","2","0","0.0000"
"HC-127","2019-03-30","Sales","37","2","0","0.0000"
"HC-128","2019-03-30","Marketing","27","3","0","0.0000"
"HC-129","2019-03-30","Production","26","3","0","0.0000"
"HC-130","2019-03-30","Human Resources","37","4","0","0.0000"
"HC-131","2019-03-30","Finance","34","0","0","0.0000"
"HC-132","2019-03-30","IT Support","38","1","1","0.0263"
"HC-133","2019-03-30","Quality Control","36","2","0","0.0000"
"HC-134","2019-03-30","Logistics","27","5","0","0.0000"
"HC-135","2019-03-30","Research & Development","40","3","0","0.0000"
"HC-136","2019-04-29","Sales","41","4","0","0.0000"
"HC-137","2019-04-29","Marketing","31","4","0","0.0000"
"HC-138","2019-04-29","Production","29","3","0","0.0000"
"HC-139","2019-04-29","Human Resources","39","3","0","0.0000"
"HC-140","2019-04-29","Finance","36","2","0","0.0000"
"HC-141","2019-04-29","IT Support","42","4","0","0.0000"
"HC-142","2019-04-29","Quality Control","41","5","0","0.0000"
"HC-143","2019-04-29","Logistics","28","1","0","0.0000"
"HC-144","2019-04-29","Research & Development","42","2","0","0.0000"
"HC-145","2019-05-30","Sales","43","2","0","0.0000"
"HC-146","2019-05-30","Marketing","35","4","0","0.0000"
"HC-147","2019-05-30","Production","29","0","0","0.0000"
"HC-148","2019-05-30","Human Resources","42","3","1","0.0238"
"HC-149","2019-05-30","Finance","39","3","0","0.0000"
"HC-150","2019-05-30","IT Support","42","0","0","0.0000"
"HC-151","2019-05-30","Quality Control","43","2","0","0.0000"
"HC-152","2019-05-30","Logistics","30","2","0","0.0000"
"HC-153","2019-05-30","Research & Development","44","2","0","0.0000"
"HC-154","2019-06-29","Sales","47","4","0","0.0000"
"HC-155","2019-06-29","Marketing","39","4","0","0.0000"
"HC-156","2019-06-29","Production","31","2","0","0.0000"
"HC-157","2019-06-29","Human Resources","43","1","0","0.0000"
"HC-158","2019-06-29","Finance","39","1","1","0.0256"
"HC-159","2019-06-29","IT Support","45","3","0","0.0000"
"HC-160","2019-06-29","Quality Control","46","3","0","0.0000"
"HC-161","2019-06-29","Logistics","34","4","0","0.0000"
"HC-162","2019-06-29","Research & Development","45","2","0","0.0000"
"HC-163","2019-07-30","Sales","49","2","0","0.0000"
"HC-164","2019-07-30","Marketing","40","1","0","0.0000"
"HC-165","2019-07-30","Production","33","2","0","0.0000"
"HC-166","2019-07-30","Human Resources","43","0","0","0.0000"
"HC-167","2019-07-30","Finance","43","4","0","0.0000"
"HC-168","2019-07-30","IT Support","47","2","0","0.0000"
"HC-169","2019-07-30","Quality Control","50","4","0","0.0000"
"HC-170","2019-07-30","Logistics","36","2","0","0.0000"
"HC-171","2019-07-30","Research & Development","48","2","0","0.0000"
"HC-172","2019-08-30","Sales","50","1","0","0.0000"
"HC-173","2019-08-30","Marketing","42","2","0","0.0000"
"HC-174","2019-08-30","Production","36","3","0","0.0000"
"HC-175","2019-08-30","Human Resources","44","1","0","0.0000"
"HC-176","2019-08-30","Finance","45","2","0","0.0000"
"HC-177","2019-08-30","IT Support","50","3","0","0.0000"
"HC-178","2019-08-30","Quality Control","51","1","0","0.0000"
"HC-179","2019-08-30","Logistics","38","2","0","0.0000"
"HC-180","2019-08-30","Research & Development","49","1","0","0.0000"
"HC-181","2019-09-29","Sales","52","2","0","0.0000"
"HC-182","2019-09-29","Marketing","44","2","0","0.0000"
"HC-183","2019-09-29","Production","39","3","0","0.0000"
"HC-184","2019-09-29","Human Resources","44","0","0","0.0000"
"HC-185","2019-09-29","Finance","48","3","0","0.0000"
"HC-186","2019-09-29","IT Support","50","0","0","0.0000"
"HC-187","2019-09-29","Quality Control","54","3","0","0.0000"
"HC-188","2019-09-29","Logistics","38","1","1","0.0263"
"HC-189","2019-09-29","Research & Development","53","4","0","0.0000"
"HC-190","2019-10-30","Sales","57","5","0","0.0000"
"HC-191","2019-10-30","Marketing","46","2","0","0.0000"
"HC-192","2019-10-30","Production","41","2","0","0.0000"
"HC-193","2019-10-30","Human Resources","46","2","0","0.0000"
"HC-194","2019-10-30","Finance","51","3","0","0.0000"
"HC-195","2019-10-30","IT Support","51","1","0","0.0000"
"HC-196","2019-10-30","Quality Control","54","0","0","0.0000"
"HC-197","2019-10-30","Logistics","42","5","1","0.0238"
"HC-198","2019-10-30","Research & Development","55","2","0","0.0000"
"HC-199","2019-11-29","Sales","58","1","0","0.0000"
"HC-200","2019-11-29","Marketing","47","1","0","0.0000"
"HC-201","2019-11-29","Production","45","4","0","0.0000"
"HC-202","2019-11-29","Human Resources","50","4","0","0.0000"
"HC-203","2019-11-29","Finance","52","1","0","0.0000"
"HC-204","2019-11-29","IT Support","53","2","0","0.0000"
"HC-205","2019-11-29","Quality Control","59","5","0","0.0000"
"HC-206","2019-11-29","Logistics","45","3","0","0.0000"
"HC-207","2019-11-29","Research & Development","56","1","0","0.0000"
"HC-208","2019-12-30","Sales","58","1","1","0.0172"
"HC-209","2019-12-30","Marketing","50","3","0","0.0000"
"HC-210","2019-12-30","Production","50","5","0","0.0000"
"HC-211","2019-12-30","Human Resources","51","1","0","0.0000"
"HC-212","2019-12-30","Finance","55","4","0","0.0000"
"HC-213","2019-12-30","IT Support","57","4","0","0.0000"
"HC-214","2019-12-30","Quality Control","61","2","0","0.0000"
"HC-215","2019-12-30","Logistics","46","1","0","0.0000"
"HC-216","2019-12-30","Research & Development","61","5","0","0.0000"
"HC-217","2020-01-30","Sales","59","2","1","0.0169"
"HC-218","2020-01-30","Marketing","56","7","1","0.0179"
"HC-219","2020-01-30","Production","52","2","0","0.0000"
"HC-220","2020-01-30","Human Resources","54","3","0","0.0000"
"HC-221","2020-01-30","Finance","58","2","0","0.0000"
"HC-222","2020-01-30","IT Support","59","2","0","0.0000"
"HC-223","2020-01-30","Quality Control","63","2","0","0.0000"
"HC-224","2020-01-30","Logistics","49","3","0","0.0000"
"HC-225","2020-01-30","Research & Development","64","4","1","0.0156"
"HC-226","2020-02-28","Sales","61","2","0","0.0000"
"HC-227","2020-02-28","Marketing","57","1","0","0.0000"
"HC-228","2020-02-28","Production","53","2","1","0.0189"
"HC-229","2020-02-28","Human Resources","59","6","1","0.0169"
"HC-230","2020-02-28","Finance","59","1","0","0.0000"
"HC-231","2020-02-28","IT Support","62","3","0","0.0000"
"HC-232","2020-02-28","Quality Control","64","1","0","0.0000"
"HC-233","2020-02-28","Logistics","53","4","0","0.0000"
"HC-234","2020-02-28","Research & Development","68","4","0","0.0000"
"HC-235","2020-03-30","Sales","63","2","0","0.0000"
"HC-236","2020-03-30","Marketing","60","3","0","0.0000"
"HC-237","2020-03-30","Production","55","2","0","0.0000"
"HC-238","2020-03-30","Human Resources","60","1","0","0.0000"
"HC-239","2020-03-30","Finance","59","0","0","0.0000"
"HC-240","2020-03-30","IT Support","65","3","0","0.0000"
"HC-241","2020-03-30","Quality Control","65","1","0","0.0000"
"HC-242","2020-03-30","Logistics","55","2","0","0.0000"
"HC-243","2020-03-30","Research & Development","67","0","1","0.0149"
"HC-244","2020-04-29","Sales","64","2","1","0.0156"
"HC-245","2020-04-29","Marketing","65","5","0","0.0000"
"HC-246","2020-04-29","Production","57","2","0","0.0000"
"HC-247","2020-04-29","Human Resources","62","2","0","0.0000"
"HC-248","2020-04-29","Finance","61","2","0","0.0000"
"HC-249","2020-04-29","IT Support","68","3","0","0.0000"
"HC-250","2020-04-29","Quality Control","67","3","0","0.0000"
"HC-251","2020-04-29","Logistics","60","5","0","0.0000"
"HC-252","2020-04-29","Research & Development","67","2","1","0.0149"
"HC-253","2020-05-30","Sales","63","0","1","0.0159"
"HC-254","2020-05-30","Marketing","69","4","0","0.0000"
"HC-255","2020-05-30","Production","59","2","0","0.0000"
"HC-256","2020-05-30","Human Resources","69","8","1","0.0145"
"HC-257","2020-05-30","Finance","61","2","2","0.0328"
"HC-258","2020-05-30","IT Support","70","2","0","0.0000"
"HC-259","2020-05-30","Quality Control","75","7","0","0.0000"
"HC-260","2020-05-30","Logistics","61","1","0","0.0000"
"HC-261","2020-05-30","Research & Development","70","2","0","0.0000"
"HC-262","2020-06-29","Sales","63","1","1","0.0159"
"HC-263","2020-06-29","Marketing","74","5","0","0.0000"
"HC-264","2020-06-29","Production","59","1","1","0.0169"
"HC-265","2020-06-29","Human Resources","71","3","1","0.0141"
"HC-266","2020-06-29","Finance","66","5","0","0.0000"
"HC-267","2020-06-29","IT Support","74","4","0","0.0000"
"HC-268","2020-06-29","Quality Control","75","0","0","0.0000"
"HC-269","2020-06-29","Logistics","63","2","0","0.0000"
"HC-270","2020-06-29","Research & Development","70","0","0","0.0000"
"HC-271","2020-07-30","Sales","64","1","0","0.0000"
"HC-272","2020-07-30","Marketing","75","1","0","0.0000"
"HC-273","2020-07-30","Production","62","3","0","0.0000"
"HC-274","2020-07-30","Human Resources","71","0","0","0.0000"
"HC-275","2020-07-30","Finance","67","2","1","0.0149"
"HC-276","2020-07-30","IT Support","76","2","0","0.0000"
"HC-277","2020-07-30","Quality Control","76","1","0","0.0000"
"HC-278","2020-07-30","Logistics","66","3","0","0.0000"
"HC-279","2020-07-30","Research & Development","75","5","0","0.0000"
"HC-280","2020-08-30","Sales","66","3","1","0.0152"
"HC-281","2020-08-30","Marketing","77","2","0","0.0000"
"HC-282","2020-08-30","Production","65","3","0","0.0000"
"HC-283","2020-08-30","Human Resources","72","2","1","0.0139"
"HC-284","2020-08-30","Finance","68","1","0","0.0000"
"HC-285","2020-08-30","IT Support","76","0","0","0.0000"
"HC-286","2020-08-30","Quality Control","78","2","0","0.0000"
"HC-287","2020-08-30","Logistics","69","3","0","0.0000"
"HC-288","2020-08-30","Research & Development","77","2","0","0.0000"
"HC-289","2020-09-29","Sales","67","1","0","0.0000"
"HC-290","2020-09-29","Marketing","77","0","0","0.0000"
"HC-291","2020-09-29","Production","67","2","0","0.0000"
"HC-292","2020-09-29","Human Resources","74","2","0","0.0000"
"HC-293","2020-09-29","Finance","72","4","0","0.0000"
"HC-294","2020-09-29","IT Support","81","5","0","0.0000"
"HC-295","2020-09-29","Quality Control","82","4","0","0.0000"
"HC-296","2020-09-29","Logistics","72","3","0","0.0000"
"HC-297","2020-09-29","Research & Development","79","2","0","0.0000"
"HC-298","2020-10-30","Sales","66","0","1","0.0152"
"HC-299","2020-10-30","Marketing","80","4","1","0.0125"
"HC-300","2020-10-30","Production","70","3","0","0.0000"
"HC-301","2020-10-30","Human Resources","75","2","1","0.0133"
"HC-302","2020-10-30","Finance","76","4","0","0.0000"
"HC-303","2020-10-30","IT Support","83","2","0","0.0000"
"HC-304","2020-10-30","Quality Control","84","2","0","0.0000"
"HC-305","2020-10-30","Logistics","74","2","0","0.0000"
"HC-306","2020-10-30","Research & Development","83","4","0","0.0000"
"HC-307","2020-11-29","Sales","68","2","0","0.0000"
"HC-308","2020-11-29","Marketing","82","2","0","0.0000"
"HC-309","2020-11-29","Production","72","3","0","0.0000"
"HC-310","2020-11-29","Human Resources","76","1","0","0.0000"
"HC-311","2020-11-29","Finance","76","0","0","0.0000"
"HC-312","2020-11-29","IT Support","86","3","0","0.0000"
"HC-313","2020-11-29","Quality Control","87","3","0","0.0000"
"HC-314","2020-11-29","Logistics","78","4","0","0.0000"
"HC-315","2020-11-29","Research & Development","87","4","0","0.0000"
"HC-316","2020-12-30","Sales","69","2","1","0.0145"
"HC-317","2020-12-30","Marketing","86","5","1","0.0116"
"HC-318","2020-12-30","Production","76","3","0","0.0000"
"HC-319","2020-12-30","Human Resources","81","5","0","0.0000"
"HC-320","2020-12-30","Finance","76","1","1","0.0132"
"HC-321","2020-12-30","IT Support","90","4","1","0.0111"
"HC-322","2020-12-30","Quality Control","90","4","0","0.0000"
"HC-323","2020-12-30","Logistics","78","0","0","0.0000"
"HC-324","2020-12-30","Research & Development","89","2","0","0.0000"
"HC-325","2021-01-30","Sales","71","2","0","0.0000"
"HC-326","2021-01-30","Marketing","93","7","0","0.0000"
"HC-327","2021-01-30","Production","78","2","0","0.0000"
"HC-328","2021-01-30","Human Resources","82","1","0","0.0000"
"HC-329","2021-01-30","Finance","80","4","0","0.0000"
"HC-330","2021-01-30","IT Support","89","0","0","0.0000"
"HC-331","2021-01-30","Quality Control","92","1","0","0.0000"
"HC-332","2021-01-30","Logistics","83","5","0","0.0000"
"HC-333","2021-01-30","Research & Development","93","4","0","0.0000"
"HC-334","2021-02-27","Sales","77","6","0","0.0000"
"HC-335","2021-02-27","Marketing","97","4","0","0.0000"
"HC-336","2021-02-27","Production","78","0","0","0.0000"
"HC-337","2021-02-27","Human Resources","86","4","0","0.0000"
"HC-338","2021-02-27","Finance","82","2","0","0.0000"
"HC-339","2021-02-27","IT Support","92","3","0","0.0000"
"HC-340","2021-02-27","Quality Control","94","2","0","0.0000"
"HC-341","2021-02-27","Logistics","86","3","0","0.0000"
"HC-342","2021-02-27","Research & Development","95","2","0","0.0000"
"HC-343","2021-03-30","Sales","79","2","0","0.0000"
"HC-344","2021-03-30","Marketing","102","5","0","0.0000"
"HC-345","2021-03-30","Production","81","3","0","0.0000"
"HC-346","2021-03-30","Human Resources","90","4","0","0.0000"
"HC-347","2021-03-30","Finance","83","1","0","0.0000"
"HC-348","2021-03-30","IT Support","94","2","0","0.0000"
"HC-349","2021-03-30","Quality Control","99","5","0","0.0000"
"HC-350","2021-03-30","Logistics","92","6","0","0.0000"
"HC-351","2021-03-30","Research & Development","97","2","0","0.0000"
"HC-352","2021-04-29","Sales","80","1","0","0.0000"
"HC-353","2021-04-29","Marketing","105","3","0","0.0000"
"HC-354","2021-04-29","Production","83","3","1","0.0120"
"HC-355","2021-04-29","Human Resources","92","3","1","0.0109"
"HC-356","2021-04-29","Finance","84","1","0","0.0000"
"HC-357","2021-04-29","IT Support","94","0","0","0.0000"
"HC-358","2021-04-29","Quality Control","102","4","0","0.0000"
"HC-359","2021-04-29","Logistics","98","6","0","0.0000"
"HC-360","2021-04-29","Research & Development","98","1","0","0.0000"
"HC-361","2021-05-30","Sales","82","2","0","0.0000"
"HC-362","2021-05-30","Marketing","106","1","0","0.0000"
"HC-363","2021-05-30","Production","82","0","1","0.0122"
"HC-364","2021-05-30","Human Resources","95","5","2","0.0211"
"HC-365","2021-05-30","Finance","86","2","0","0.0000"
"HC-366","2021-05-30","IT Support","95","3","1","0.0105"
"HC-367","2021-05-30","Quality Control","103","0","0","0.0000"
"HC-368","2021-05-30","Logistics","101","3","0","0.0000"
"HC-369","2021-05-30","Research & Development","101","3","0","0.0000"
"HC-370","2021-06-29","Sales","84","2","0","0.0000"
"HC-371","2021-06-29","Marketing","107","1","0","0.0000"
"HC-372","2021-06-29","Production","84","2","0","0.0000"
"HC-373","2021-06-29","Human Resources","96","2","0","0.0000"
"HC-374","2021-06-29","Finance","89","3","0","0.0000"
"HC-375","2021-06-29","IT Support","97","1","0","0.0000"
"HC-376","2021-06-29","Quality Control","103","0","0","0.0000"
"HC-377","2021-06-29","Logistics","102","1","0","0.0000"
"HC-378","2021-06-29","Research & Development","105","4","0","0.0000"
"HC-379","2021-07-30","Sales","87","4","0","0.0000"
"HC-380","2021-07-30","Marketing","110","3","0","0.0000"
"HC-381","2021-07-30","Production","86","2","0","0.0000"
"HC-382","2021-07-30","Human Resources","100","3","0","0.0000"
"HC-383","2021-07-30","Finance","91","2","0","0.0000"
"HC-384","2021-07-30","IT Support","101","4","0","0.0000"
"HC-385","2021-07-30","Quality Control","108","5","0","0.0000"
"HC-386","2021-07-30","Logistics","103","1","0","0.0000"
"HC-387","2021-07-30","Research & Development","107","2","0","0.0000"
"HC-388","2021-08-30","Sales","90","2","0","0.0000"
"HC-389","2021-08-30","Marketing","110","1","1","0.0091"
"HC-390","2021-08-30","Production","88","3","1","0.0114"
"HC-391","2021-08-30","Human Resources","103","3","0","0.0000"
"HC-392","2021-08-30","Finance","94","3","0","0.0000"
"HC-393","2021-08-30","IT Support","101","0","0","0.0000"
"HC-394","2021-08-30","Quality Control","109","1","0","0.0000"
"HC-395","2021-08-30","Logistics","104","1","0","0.0000"
"HC-396","2021-08-30","Research & Development","110","3","0","0.0000"
"HC-397","2021-09-29","Sales","94","4","0","0.0000"
"HC-398","2021-09-29","Marketing","110","2","2","0.0182"
"HC-399","2021-09-29","Production","90","2","0","0.0000"
"HC-400","2021-09-29","Human Resources","103","1","1","0.0097"
"HC-401","2021-09-29","Finance","96","2","0","0.0000"
"HC-402","2021-09-29","IT Support","102","1","0","0.0000"
"HC-403","2021-09-29","Quality Control","110","1","0","0.0000"
"HC-404","2021-09-29","Logistics","105","2","0","0.0000"
"HC-405","2021-09-29","Research & Development","110","0","0","0.0000"
"HC-406","2021-10-30","Sales","94","0","0","0.0000"
"HC-407","2021-10-30","Marketing","111","1","0","0.0000"
"HC-408","2021-10-30","Production","90","1","1","0.0111"
"HC-409","2021-10-30","Human Resources","107","4","0","0.0000"
"HC-410","2021-10-30","Finance","96","0","0","0.0000"
"HC-411","2021-10-30","IT Support","103","1","0","0.0000"
"HC-412","2021-10-30","Quality Control","113","3","0","0.0000"
"HC-413","2021-10-30","Logistics","108","2","0","0.0000"
"HC-414","2021-10-30","Research & Development","114","4","0","0.0000"
"HC-415","2021-11-29","Sales","94","0","0","0.0000"
"HC-416","2021-11-29","Marketing","114","3","0","0.0000"
"HC-417","2021-11-29","Production","90","0","0","0.0000"
"HC-418","2021-11-29","Human Resources","108","1","0","0.0000"
"HC-419","2021-11-29","Finance","98","3","1","0.0102"
"HC-420","2021-11-29","IT Support","107","5","1","0.0093"
"HC-421","2021-11-29","Quality Control","113","0","0","0.0000"
"HC-422","2021-11-29","Logistics","111","3","0","0.0000"
"HC-423","2021-11-29","Research & Development","119","5","0","0.0000"
"HC-424","2021-12-30","Sales","96","2","0","0.0000"
"HC-425","2021-12-30","Marketing","117","3","0","0.0000"
"HC-426","2021-12-30","Production","94","4","0","0.0000"
